,会社名,初年度年収,給与
38,佐賀県農業協同組合 | JAさが | ▼完全週休2日制　▼資格取得も目指せる環境,【未経験／UIターン歓迎】◎高卒以上 ◎基本的なPCスキル ★インセンティブ制度（年4回:平均50万円前後）や賞与年3回あり,【県外への転勤なし】 佐賀県内の各支所へ配属となります。 ※詳しくはホームページをご確認ください。…
39,朝日税理士法人 | 総合型で幅広い分野に対応／上場企業の顧問多数／在宅勤務あり！,【職種未経験者歓迎！】◆経験を活かしてキャリアUPやキャリアチェンジしたい方を歓迎 ◇年齢不問・30代～40代が活躍中 ◆提案型営業の経験者優遇,世田谷区【用賀事務所】 【用賀事務所】東京都世田谷区玉川台2-3-20　第5YNビル2階 田園都市…
40,東日本コンテナーサービス株式会社 | 【業界大手の太陽工業グループ】大手樹脂メーカーと取引で安定◎,「コンテナーバックって何？」そんな人でも大丈夫です！【未経験・第二新卒大歓迎】◆高卒以上◆ポストの空きも豊富⇒キャリアアップしたい方も歓迎！,【姉ヶ崎駅より無料送迎あり】 千葉本社工場／千葉県市原市今津朝山343-3 ※転勤ナシ／マイカー通…
41,株式会社エム・ソフト | 《キヤノン株式会社出資企業》創業35周年を迎える安定企業,《大卒以上》◎30歳以下★未経験者可★経験よりも意欲や人物重視の採用です。,◆本社勤務！複数路線利用可能な上野駅徒歩スグの好立地 ◎転勤なし 《上野本社》 東京都台東区東上野…
42,株式会社エム・ソフト | 《キヤノン株式会社出資企業》創業30年超の安定企業！年休128日,≪大卒以上≫30歳以下★未経験者も可、経理に興味のある方を歓迎します。★経験よりも意欲や人物重視の採用です。,◆本社勤務！複数路線利用可能な上野駅徒歩スグの好立地 ◎転勤なし 《上野本社》 東京都台東区東上野…
43,株式会社LNJ関東 | 札幌証券取引所上場企業ロジネットジャパングループ,【年齢不問】【高卒以上】物流事務・一般事務担当者,茨城支店　神栖営業所 茨城県神栖市東深芝22-1
44,株式会社ガス檢中部 | 創業以来黒字！ガスプラント検査業界ではトップクラスの実績！,《未経験・第二新卒！》■普通自動車運転免許(AT可) ★U・Iターン歓迎！ ★全くの未経験から活躍している先輩ばかりです！★充実の福利厚生で安心！,☆マイカー通勤OK！ 静岡事業所／静岡県静岡市駿河区中村町439-1 春日井事業所／愛知県春日井市…
45,株式会社ダンガミ | 【東証二部上場 株式会社カクヤスグループ100％出資子会社】,≪ 未経験者も大歓迎！第二新卒・UIターンもOK♪≫ ◎学歴・年齢不問　◎要普通免許(AT可)※2017年3月以降に免許を取得した方は要準中型免許(AT可),◆転勤なし ◆マイカー通勤OK ◆UIターン歓迎 ■福岡県福岡市中央区那の津3丁目16番11号
46,株式会社セフテック | 東証一部上場・ニッコンホールディングス(株)の子会社です,【未経験者】◆資格や経験の有無は不問◆30歳まで(若年層の長期キャリア形成を図るため)【経験者】◆実務経験者(年数不問)もしくは有資格者(3級以上),埼玉(狭山市2拠点)、栃木(芳賀郡芳賀町)、新潟(新潟市)、熊本(菊池郡大津町)の5拠点で募集 ※…
47,株式会社セフテック | 東証一部上場・ニッコンホールディングス(株)の子会社です,〈未経験者も大歓迎〉【応募資格】◆普通自動車免許(AT限定不可)◆高卒以上 ☆残業は月10～20hで少なめ☆単身用社員寮があるから遠方からの応募も歓迎,埼玉(狭山市)、新潟(新潟市)の2拠点で募集 ---勤務地一覧--- 【本社・狭山工場】埼玉県狭山…
48,株式会社良知経営 | ★4/1ホールディングス化／持ち株会社として分社★上場準備企業,■高卒以上■経理実務経験がある方／経験年数不問,※マイカー通勤OK／駐車場完備 本社／神奈川県川崎市宮前区犬蔵1-23-13 ＜交通アクセス＞ ◎…
49,ゲンキー株式会社 | 東証一部上場Genky Drugstoresグループ｜月9日休(曜日は選択式),※業界経験不問※◆店舗開発や土地活用の実務経験者 ◇用地仕入れ経験者や、コンビニ店舗開発の経験者が活躍中 ＼入社1年目で年収700万円も可能／,愛知県、岐阜県、福井県、石川県、滋賀県の各県内 ◎希望勤務地を考慮いたします ＜勤務地の一例＞ 戦…
50,協和スチール株式会社 | 【安定基盤】兼松(東証一部)グループ100％出資子会社,＼＼これまでの経験は問いません／／★35歳までの方　★未経験からスタートしたスタッフでも一人前に活躍！あなたを育てる準備は万端です！,兵庫県加西市畑町2283-1 ☆転勤なし・マイカー通勤OK(駐車場完備)
51,株式会社グローバルBIM | 【鹿島建設グループ】★土日祝休み ★育児との両立も可能！,【経験浅の方～即戦力まで大募集！】建設業界経験／図面作成経験／BIMの経験・知識／一級建築士・一級施工管理技士等をお持ちの方、大歓迎です！,【本社(東京都港区)または沖縄BIMセンター(沖縄県うるま市)に配属】 ※希望を考慮し、配属先を決…
52,株式会社アキバ | 裁量権の大きさも自慢／残業は月平均20時間以内／引越費用補助有,《 応募条件 》土木設計や、建設コンサルタント業務経験3年以上の方／要普免（AT限定可） ◎土木学科卒の方もご相談ください。,《 引越費用補助／マイカー通勤可 》 島根県松江市宍道町東来待976-7
53,株式会社つえ屋 | 京都市内に5店舗+各地に出店！WikipediaやYoutubeで是非、検索を,"＜未経験・第二新卒歓迎＞◆学歴不問 ◆要普免 ◆PCスキル（Excel,Powerpoint）をお持ちの方 ※営業やPCスキルに自信がある方を優遇します",＜U・Iターンも歓迎します＞ 京都府京都市中京区丸太町西洞院西入ル横鍛冶町114 …→地下鉄「丸太…
54,阪神ロジテム株式会社 | （ロジテムグループ）JASDAQ上場企業のグループ会社,【未経験・第二新卒OK！学歴不問】◎ゆくゆくは管理職として活躍したい方を歓迎！★物流管理経験をお持ちの方は活かせます。,兵庫県、大阪府、滋賀県、岡山　の各営業所にて勤務。 ※U・Iターン歓迎 ※営業所によってマイカー通…
55,株式会社grape | フジサンケイグループ/月6000万PVのWebメディア「grape」の運営,【未経験可】様々な業種・職種で多彩な経験をお持ちの方／いろんなジャンルに興味をお持ちの方歓迎！◆ライターや編集の経験がある方歓迎,【転勤なし】 【JR横浜線・横浜市営地下鉄ブルーライン 「新横浜駅」より徒歩1分】 神奈川県横浜市…
56,Network Engineering株式会社 | 【 2021年5月15日(土) マイナビ転職フェア鹿児島に出展します 】,★★ 未経験者歓迎！20～30代が活躍中！★★ ※35歳以下 ◎特別な経験・技術・資格は不問 ◎男女不問 ★販売、接客、営業経験のある方は活かせます♪,◆UIターン歓迎 ◆引っ越しを伴う転勤なし 鹿児島市内の3店舗いずれかにて勤務します。 【 アミュ…
57,株式会社カミオジャパン | 業界知名度◎！楽天ランキング入賞★年休124日,【20～30代の女性が活躍中！】◎ECサイト運営のご経験者は歓迎します！☆雑貨に興味がある方大歓迎！,【転勤なし／堺筋本町駅・長堀橋駅より徒歩5分】 ランチや、仕事帰りにショッピングも楽しめます♪ 大…
58,株式会社裕源 | ★全国のセブン-イレブンに並ぶ商品の企画に携われる！,≪未経験歓迎！≫【応募条件】◎基本的なPCスキルがある方(Word・Excel・PowerPoint等) ★雑貨や食品の営業経験がある方、中国語スキルがある方優遇,《「本厚木」駅チカの好立地♪》 【本社】 神奈川県厚木市中町3-3-9アーバンプラザ4F ＜アクセ…
59,株式会社　ニケール | 子ども服・小物まで企画・デザイン・製造,＜学歴不問！第二新卒歓迎！＞Illustratorを使える方、アパレル、ファッション業界での実務経験★仕様書作成経験者、大歓迎！★,〒103-0005 東京都中央区日本橋久松町11-8　CITY PRIME日本橋3階 駅近オフィス…
60,エス・テー・デュポン ジャポン株式会社 | 完全週休2日制／豊富なインセンティブ制度あり,【経験不問／第二新卒歓迎】◎百貨店での接客経験者・高級品の販売経験者は優遇いたします◎現場ファーストの環境で働けます◎正社員登用実績あり,■ジェイアール名古屋タカシマヤ店（中村区名駅） ☆2021年9月オープンの新店☆ 名古屋市中村区名…
61,株式会社大阪建材センター | グランフロント・あべのハルカスなど有名施設への実績あり,【未経験OK！第二新卒の方も歓迎】◎高卒以上 ◎あいさつなど社会人マナーがある方 ★特別なコミュニケーションスキルは必要ありません,【大阪市「大正区」でずっと活躍！】 ※マイカー・バイク通勤 要相談 ※転勤はありません ※U・Iタ…
62,株式会社アーキサイト | 設立以来20期連続黒字業績！！,<経験不問！> ◆要普通運転免許(AT限定可)※新卒・第二新卒大歓迎！エクセル、ワード（パワポ）,◎転勤なし ◎入社当初は、東京本社で研修あり 【大阪営業所】 〒530-0001 大阪府大阪市北区…
63,株式会社ホームネット | 【増収増益を継続中/自社施工化プロジェクト進行中】*年休125日,【転勤なし／女性メンバーも活躍中！】 ◆未経験～経験者まで幅広く募集！※施工管理経験があれば即戦力として活躍できます！＊有資格者優遇♪,【転勤なし／U・Iターン歓迎】★移住支援(引越費用最大10万)あり！ ★東京・横浜・大阪・沖縄で募…
64,日豊興産株式会社 | ★未経験歓迎 ★転勤なし ★電話問合せOK！⇒ 093-583-8350,【 未経験者歓迎！】 ◎高卒以上 ◎年齢＆転職回数不問！ ★職場見学も実施中！ちょっと気になる…という方はお気軽にご応募ください。,◆◆ 転勤なし ◆◆ ◎福岡県北九州市八幡東区工場内 ◎福岡県北九州市小倉北区西港町16番地19…
65,株式会社NLT | 劇団運営・演劇制作を主軸に、50年以上続く俳優プロダクション,【業界未経験OK】芸能界に興味のある方大歓迎！ゼロから育成していきます♪ ◎法人営業経験必須◎基本的なPCスキルをお持ちの方 ★20代活躍中！,◎駅から徒歩1分！ 東京都新宿区荒木町23　鈴商ビル3F 【アクセス】 都営新宿線「曙橋駅」より徒…
66,"アサヒグループ食品株式会社 | 業界大手 ""アサヒグループHD""傘下の安定企業 ★未経験歓迎",＼未経験者～製造経験者まで幅広く歓迎／ ■高卒以上 ■経験/年齢は一切不問 ■資格不要 ◎女性活躍中！定年まで長く働くメンバーがほとんどです。,《 転勤なし 》 岡山工場／岡山県浅口郡里庄町里見4215 岡山県浅口郡里庄町里見2751-1 ※…
67,"アサヒグループ食品株式会社 | 業界大手 ""アサヒグループHD""傘下の安定企業 ★未経験歓迎",＼未経験者～製造経験者まで幅広く歓迎／ ■高卒以上 ■経験/年齢は一切不問 ■資格不要 ◎男性が活躍中！定年まで長く働くメンバーがほとんどです。,《 転勤なし 》 岡山工場／岡山県浅口郡里庄町里見4215 岡山県浅口郡里庄町里見2751-1 ※…
68,センコー商事株式会社 | ◆一部上場企業センコーグループ◆賞与年4回◆福利厚生も充実◆,《学歴不問・第二新卒の方も歓迎》一部上場企業グループの安定感のもと、自由に動画企画・制作を手がけていきたい方◆20代メンバーも活躍中！,東京都江東区潮見2丁目8番10号 潮見SIFビル4F ※転勤なし ＜交通アクセス＞ ＪＲ京葉線「潮…
69,博陽工業株式会社 | 【TAKUMINOグループ】食事手当などの充実の福利厚生◎,◎法人営業経験ある方　メーカでの営業経験者歓迎いたします！◎日商簿記3級以上　◎普通自動車運転免許　　◎学歴不問　◎年齢不問,福岡市・熊本市のいずれかの事業所で勤務いただきます。 福岡市勤務の場合でも研修は熊本で行いますが、…
70,博陽工業株式会社 | 【TAKUMINOグループ】WEB面談実施中！年間休日110日★,★設計の実務経験がある方が対象　◎学歴不問　◎年齢不問　　★資格取得を全面バックアップ！働きながらスキルアップできる環境です！,福岡市・熊本市のいずれかの事業所で勤務いただきます。 福岡市勤務の場合でも研修は熊本で行いますが、…
71,東京ラヂエーター製造株式会社 | 神奈川／転勤なし／東証二部上場,熱交換器の知見のある方は特に歓迎,＜勤務地詳細＞ 本社:神奈川県藤沢市遠藤2002-1 ＜勤務地最寄駅＞ 小田急・相鉄・市営地下鉄線…
72,東京ラヂエーター製造株式会社 | 神奈川／転勤なし／東証二部上場,熱交換器やモーターファンの知見のある方は特に歓迎,＜勤務地詳細＞ 本社:神奈川県藤沢市遠藤2002-1 ＜勤務地最寄駅＞ 小田急・相鉄・市営地下鉄線…
73,東京ラヂエーター製造株式会社 | 神奈川／転勤なし／東証二部上場,生産技術として工程設計のご経験がある方は特に歓迎,＜勤務地詳細＞ 本社:神奈川県藤沢市遠藤2002-1 ＜勤務地最寄駅＞ 小田急・相鉄・市営地下鉄線…
74,株式会社アセント | 【a.s.s.a】人気の自社ブランドを展開する、レイン雑貨メーカー,【経験者歓迎】■「商品企画やブランドディレクター、マーケッターになりたい」という意欲をお持ちの方 ■自ら考え、主体的に仕事に取り組んできた方,【転勤なし／「本町」駅徒歩すぐ！】 本社／大阪府大阪市西区立売堀1-9-15 ※U・Iターン歓迎し…
75,株式会社カーサービス岩手 | 国で認められた認証工場完備★安心の環境でイチから育てます！,【性別・学歴・経験不問！】人物重視採用！車好きな方であればイチから育てます★小型車から大型車まで色々な車種を扱うので飽きません♪※経験者優遇,◇岩手県盛岡市みたけ3-38-34 ※転勤なし ※車・バイク通勤可（駐車場有）
76,株式会社ベクトル | 完全週休2日制／年休125日以上／フレックス制／リモートワーク可,応募条件：人事経験（2年以上／新卒・中途採用、研修など領域不問） ☆ベンチャー企業での人事経験者は歓迎します！ ★働きやすい環境,本社／東京都港区赤坂4-15-1 赤坂ガーデンシティ18F ※転勤なし ※在宅勤務・リモート勤務相…
77,株式会社ベクトル | 完全週休2日制／年休125日以上／フレックス制／リモートワーク可,応募条件：新卒採用の戦略企画から実行までの経験 ☆ベンチャー企業での人事経験者は歓迎します！ ★働きやすい環境,本社／東京都港区赤坂4-15-1 赤坂ガーデンシティ18F ※転勤なし ※在宅勤務・リモート勤務相…
78,ティッセンクルップ・ウーデ・クロリンエンジニアズ株式会社 | 【業界随一の地位を確立／食塩・塩酸電解のパイオニア】,【第二新卒歓迎】《必須条件》短大・専門・高専卒以上(化学・機械・電気系)★英語力《歓迎条件》プロセスエンジニアリングのご経験,【転勤なし】 東京都中央区日本橋茅場町1-13-12 さくら日本橋ビル7F ＜アクセス＞ 東京メト…
79,ティッセンクルップ・ウーデ・クロリンエンジニアズ株式会社 | 【業界随一の地位を確立／食塩・塩素電解のパイオニアメーカー】,【 希望があれば海外での活躍も可能 】■必須：大学卒以上／化学系の技術者としての業務経験(年数不問)／ビジネスレベルの英語力(TOEIC800点以上),【マイカー通勤可】 岡山事業所 岡山県玉野市東高崎24番地6号 ※当面の間転勤はありませんが、 希…
80,株式会社大井産業 | 《業界トップクラスのAKTIOグループ》※WEB面接も対応中！,【第二新卒／UIターン歓迎！】◎高卒以上◎要普通免許(※) ◎基本的なPCスキル★遠方からの転職希望者も大歓迎！（WEB面接対応可能）,【愛媛県大洲市冨士271-5】 ◎転勤なし ◎UIターン歓迎 ◎マイカー通勤OK ◎駐車場あり ◎…
81,株式会社大井産業 | ★業界トップクラスの「AKTIOグループ」★社宅あり／WEB面接可,【業界未経験/第二新卒/UIターン歓迎！】◎高卒以上◎要普通免許(※) ◎基本的なPCスキル★業務に必要な資格は全て入社後でOK！⇒資格取得支援あり★,【愛媛県大洲市冨士271-5】 ◎転勤なし ◎UIターン歓迎 ◎マイカー通勤OK ◎駐車場あり ◎…
82,防衛省自衛隊徳島地方協力本部 | ★5/22徳島転職フェアinあわぎんホールに出展します★,18歳以上33歳未満（日本国籍を有する男女）,徳島県内をはじめ、全国（47都道府県）の基地・駐屯地 《徳島県内の基地・駐屯地について》 ◎陸上自…
83,株式会社中国電視 | 1989年日本法人設立、中国国内へ経済生活情報を届けています。,大卒以上／即戦力として活躍いただける方歓迎します,東京都渋谷区渋谷1-8-7　第27SYビル6F
84,株式会社チャーム | アスクル(株)完全出資！Webショッピング・ペット用品部門受賞★,《2021年3月卒の方も歓迎★学歴不問！未経験・社会人未経験・第二新卒も歓迎！★業界に必要なことは入社後に覚えていけば大丈夫です！,神田物流倉庫：群馬県邑楽郡邑楽町大字赤堀字1173-1
85,岩崎産業株式会社 | 【 2021年5月15日(土) マイナビ転職フェア鹿児島に出展します 】,総務、経理、営業、接客、販売、建築など、いずれかの経験がある方　※マネジメント経験、管理職経験のある方は優遇,※UIターン歓迎 【 本社 】 鹿児島県鹿児島市山下町9-5　岩崎ビル 他、離島を含む鹿児島県内に…
86,株式会社公正屋 | 東証一部上場 株式会社バローホールディングスのグループ企業,【未経験★U・Iターン歓迎】■高卒以上　■精肉・鮮魚・青果担当などの実務経験のある方◎リーダー・マネジメント経験のある方は優遇します！,山梨県内、神奈川県内の各店舗・各部門 ※U・Iターン歓迎 ※マイカー通勤可 上野原店 山梨県上野原…
87,auじぶん銀行株式会社 | KDDIと三菱UFJ銀行が共同設立したネット銀行★完全週休2日制,【大卒以上】・日商簿記2級もしくは同等の知識 ・経理実務経験(1～2年程度),〒103-0027 東京都中央区日本橋1-19-1 東京ダイヤビルディング ＜アクセス＞ 東京メト…
88,auじぶん銀行株式会社 | KDDIと三菱UFJ銀行が共同設立したネット銀行★完全週休2日制,【大卒以上】・事業会社における人事業務の経験をお持ちの方 ・人材紹介会社で採用業務に携わったご経験のある方 ※20～30代活躍中,〒103-0027 東京都中央区日本橋1-19-1 東京ダイヤビルディング ＜アクセス＞ 東京メト…
